model,mode,rotation,mean_angular_error_deg
baseline_mode1,1,0,0.02051471918821335
equivariant_mode1,1,0,1.2553130388259888
baseline_mode2,2,0,4.419203758239746
equivariant_mode2,2,0,65.22528076171875
baseline_mode1,1,45,89.96815490722656
equivariant_mode1,1,45,89.29647827148438
baseline_mode2,2,45,173.34133911132812
equivariant_mode2,2,45,86.77174377441406
baseline_mode1,1,90,179.98007202148438
equivariant_mode1,1,90,87.57891082763672
baseline_mode2,2,90,5.986315727233887
equivariant_mode2,2,90,72.51737976074219
baseline_mode1,1,135,90.03124237060547
equivariant_mode1,1,135,93.61608123779297
baseline_mode2,2,135,174.45132446289062
equivariant_mode2,2,135,85.56925964355469
baseline_mode1,1,180,0.020517177879810333
equivariant_mode1,1,180,12.767549514770508
baseline_mode2,2,180,4.136682033538818
equivariant_mode2,2,180,66.9337387084961
baseline_mode1,1,225,89.96817779541016
equivariant_mode1,1,225,91.91675567626953
baseline_mode2,2,225,173.73562622070312
equivariant_mode2,2,225,85.34733581542969
baseline_mode1,1,270,179.97999572753906
equivariant_mode1,1,270,88.75559997558594
baseline_mode2,2,270,5.8772053718566895
equivariant_mode2,2,270,76.49446105957031
baseline_mode1,1,315,90.03118133544922
equivariant_mode1,1,315,89.45240783691406
baseline_mode2,2,315,174.4484100341797
equivariant_mode2,2,315,90.37429809570312
